Tokyo,Edo,Gender
餅,おかちん,W
化粧,おしまい,E
寿司,おもすじ,W
もう終わり,おしまいちゃんちゃん,E
お風呂,おゆーや,E
本心,おーね,E
本音,おーね,E
内弁慶,しじみっかい,E
内気,しじみっかい,E
バカ,べらぼー,E
バカ野郎,べらぼー,E
馬鹿野郎,べらぼー,E
馬鹿,べらぼー,E
とても,べらぼーに,E
野暮な用事,やぼよー,E
つまらない用事,,E
帽子,あっぼ,E
制限,糸目,E
限り,糸目,E
猪,いぬしし,E
イノシシ,いぬしし,E
いやらしい人,すけべー,E
大根,だいこ,E
田舎者,ごうぜえもん,E
どさくさ,ちゃがらはがら,E
混乱,ちゃがらはがら,E
でたらめ,でたっこ,E
文無し,ひってん,E
貧乏,ひってん,E
嘘つき,与太郎,E
スケベ,すけべー,E
近海,前,E
奥さん,細君,M
嫁,細君,M
嫁さん,細君,M
パートナー,細君,M
精一杯,関の山,E
二十代,年増,E
下品,げすばる,E
軽めのコート,みちゆき,E
軽い羽織,みちゆき,E
おしゃれな人,伊達者,E
僕,俺,E
お母さん,母ちゃん,E
お父さん,父ちゃん,E
お爺ちゃん,爺ちゃん,E
お婆ちゃん,婆ちゃん,E
